index,pc,var
249,4,0.0010636237727139916
250,169,0.00106287346034187
251,161,0.001062810410703331
252,251,0.0010538055452558616
253,243,0.001053481336244145
254,95,0.001053020017173279
255,83,0.001051332993743189
256,122,0.001050614093236475
257,157,0.0010490076597949316
258,152,0.0010440049303268985
259,109,0.0010416891374582433
260,187,0.0010384536565556063
261,22,0.0010361074480085264
262,80,0.0010359914380172295
263,19,0.0010310427995618256
264,189,0.0010306300976585107
265,149,0.0010305864751741563
266,197,0.0010261895959653672
267,233,0.0010113743986501637
268,105,0.0010057002380656713
269,133,0.0009856402400353042
270,114,0.00097791592665669
271,237,0.0009727284427060732
272,148,0.0009602022541400838
273,170,0.0009599126515277517
274,193,0.0009593147524580152
275,188,0.0009505827569469219
276,227,0.0009484867929806757
277,112,0.0009305044226714286
278,160,0.0009264574151041813
279,234,0.0009256980879610403
280,92,0.0009220702043933377
281,225,0.0009213458187921675
282,249,0.0009109024893464282
283,82,0.0009068247686872543
284,137,0.0009021832726787819
285,263,0.0008974168485978642
286,141,0.000848752095233652
287,90,0.0008474806091199154
288,155,0.0008194446378862122
289,42,0.0008172259704170788
290,150,0.000805399968759715
291,203,0.0007668857244015301
292,199,0.000764103324281956
293,93,0.0007571474956113667
294,11,0.0007438595598757144
295,241,0.000736400047051117
296,118,0.000706025654558693
297,111,0.0006197109927480615
298,298,0.0005887361287577016
299,299,0.0005062502849907935
